"taxa"	"Pump-NICUa"	"Mattress-NICUa"	"Rail-NICUa"	"Monitor-NICUa"	"Ventilator-NICUa"	"Pump-NICUb"	"Mattress-NICUb"	"Rail-NICUb"	"Monitor-NICUb"	"Ventilator-NICUb"	"Mobiles-NICUab"	"Handle-NICUab"	"DrugStation-NICUab"
"Haliangium"	0	2.90672325088e-05	0	0	2.90672325088e-05	0	0	0.00023253786007	0	0	0	0	0.000203470627562
"Haliscomenobacter"	0	0	0	0	0	0	0	5.81344650176e-05	0	0	0	0	0
"Halomonas"	0	0	0	0	0	0	0	0	0	0	0	5.81344650176e-05	0
"Helcococcus"	0	0	2.90672325088e-05	0.000174403395053	0	0	0	0	0	0	0.000116268930035	0	0
"Herbaspirillum"	0	0	0	0	0	0	2.90672325088e-05	2.90672325088e-05	0	8.72016975264e-05	0	0	0.000261605092579
"Herbidospora"	0	0	0	0	0	0	0	0	2.90672325088e-05	0	0	0	0
"Herpetosiphon"	0	0	0	8.72016975264e-05	0	0	0	2.90672325088e-05	0	0	0	0	0
"Hespellia"	0	0	2.90672325088e-05	0	0	0	0	0	0	0	5.81344650176e-05	0	0
"Howardella"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Hydrogenophaga"	0.00979565735546	0.00616225329186	0.0124989099788	0.00313926111095	0.00124989099788	0.00279045432084	0.0187483649682	0.00944685056536	0.00287765601837	0.00447635380635	2.90672325088e-05	0.00374967299363	0.00218004243816
"Hydrogenophilus"	0.00433101764381	0.000901084207773	0.00194750457809	0.000581344650176	0.000610411882685	0.000436008487632	0.00372060576113	0.003313664506	0.000872016975264	0.00145336162544	0	0.000784815277737	0.000901084207773
"Hymenobacter"	2.90672325088e-05	2.90672325088e-05	0.000116268930035	0	2.90672325088e-05	5.81344650176e-05	0.000145336162544	0.000465075720141	0.000377874022614	0.000145336162544	0	0.00127895823039	0.00107548760283
"Hyphomicrobium"	0	0	5.81344650176e-05	0	0	0	8.72016975264e-05	0	2.90672325088e-05	8.72016975264e-05	0	0	2.90672325088e-05
"Hyphomonas"	0	5.81344650176e-05	0	0	0	0	0	0	0	0	0	0	0
"Ignatzschineria"	0	0	0	0.000174403395053	0	0	0	0	0	0	0	0	0
"Ilumatobacter"	0	2.90672325088e-05	0	0	2.90672325088e-05	0	5.81344650176e-05	0	2.90672325088e-05	0	0	0	0
"Insolitispirillum"	0	0	0	0	0	0	0.00308112664593	0	0	0	0	0	0
"Jannaschia"	0	0	0	0	0	0	0	2.90672325088e-05	0.000203470627562	0	0	0	0
"Jeotgalicoccus"	0	0	0	0	0.000174403395053	0	0	0.000261605092579	0.000348806790106	5.81344650176e-05	5.81344650176e-05	0.000203470627562	0.000116268930035
"Jiangella"	0	0	0	0	0	0	0	0	0	0	0	0	2.90672325088e-05
"Jonesia"	0	0	0	0	0	0	0	0	0	0	0	0	0
"Kaistia"	0	0	0	0	0	0	0	0	2.90672325088e-05	0	0	0	2.90672325088e-05
