accession	name
NR_119198.1	Saccharolobus solfataricus
NR_119146.1	Halorubrum sodomense
NR_119145.1	Halorubrum trapanicum
NR_119144.1	Halorubrum saccharovorum
NR_118979.1	Methanococcoides burtonii
NR_118849.1	Haloarcula hispanica
NR_118661.1	Pyrobaculum islandicum
NR_118539.1	Pyrodictium abyssi
NR_118376.1	Thermococcus guaymasensis
NR_118375.1	Halomicrobium katesii
NR_118374.1	Archaeoglobus profundus
NR_118372.1	Methanosarcina thermophila
NR_118371.1	Methanosarcina barkeri
NR_118370.1	Methanolacinia paynteri
NR_118369.1	Methanococcus maripaludis
NR_118368.1	Methanosphaera stadtmanae
NR_118367.1	Methanobrevibacter smithii
NR_118366.1	Methanospirillum hungatei
NR_118265.1	Haloplanus natans
NR_118137.1	Natrinema pellirubrum
NR_118136.1	Natrinema pallidum
NR_118098.1	Methanomassiliicoccus luminyensis
NR_117967.1	Halosimplex carlsbadense
NR_117966.1	Halosimplex carlsbadense
NR_117965.1	Halosimplex carlsbadense
NR_117964.1	Halosimplex carlsbadense
NR_117939.1	Halomicrobium zhouii
NR_117938.1	Halomicrobium zhouii
NR_117809.1	Halobaculum gomorrense
NR_117808.1	Halobaculum gomorrense
NR_117807.1	Haladaptatus paucihalophilus
NR_117787.1	Halomicrobium zhouii
NR_117749.1	Methanocorpusculum aggregans
NR_117204.1	Halorubrum tebenquichense
NR_117149.1	Methanocorpusculum sinense
NR_117148.1	Methanocorpusculum sinense
NR_117054.1	Haloferax alexandrinus
NR_117047.1	Methanohalophilus halophilus
NR_116960.1	Natronorubrum sediminis
NR_116541.1	Ferroplasma thermophilum
NR_116088.1	Haloarcula quadrata
NR_116087.1	Haloarcula marismortui
NR_116086.1	Haloarcula marismortui
NR_116085.1	Halomicrobium mukohataei
NR_116084.1	Haloarcula quadrata
NR_116083.1	Haloarcula vallismortis
NR_116082.1	Haloarcula japonica
NR_116081.1	Haloarcula japonica
NR_116080.1	Haloarcula argentinensis
NR_115951.1	Halorubrum arcis
NR_115944.1	Ferroplasma thermophilum
NR_115749.1	Halorubrum aidingense
NR_115656.1	Natronomonas pharaonis
NR_115501.1	Haloarcula sinaiiensis
NR_115500.1	Haloarcula sinaiiensis
NR_115499.1	Sulfolobus acidocaldarius
NR_115182.1	Methanocorpusculum parvum
NR_115093.1	Acidiplasma aeolicum
NR_114776.1	Thermococcus alcaliphilus
NR_114775.1	Thermococcus siculi
NR_114753.1	Thermococcus acidaminovorans
NR_114603.1	Thermoplasma volcanium
NR_114594.1	Halosimplex carlsbadense
NR_114593.1	Halosimplex carlsbadense
NR_114592.1	Halosimplex carlsbadense
NR_114486.1	Methanobacterium thermaggregans
NR_114364.1	Salinarchaeum laminariae
NR_114363.1	Natronococcus roseus
NR_114362.1	Natronoarchaeum philippinense
NR_114361.1	Halorubellus salinus
NR_114360.1	Halorubellus litoreus
NR_114359.1	Halomicrobium zhouii
NR_114358.1	Halogranum salarium
NR_114357.1	Halobellus salinus
NR_114356.1	Halobellus limi
NR_114355.1	Haloarchaeobius iranensis
NR_113572.1	Methanobacterium thermaggregans
NR_113571.1	Methanosaeta pelagica
NR_113541.1	Natronorubrum tibetense
NR_113540.1	Natronorubrum sulfidifaciens
NR_113539.1	Natronorubrum sediminis
NR_113538.1	Natronorubrum bangense
NR_113537.1	Natronorubrum aibiense
NR_113536.1	Natronolimnobius innermongolicus
NR_113535.1	Natronolimnobius baerhuensis
NR_113534.1	Natronococcus occultus
NR_113533.1	Natronococcus jeotgali
NR_113532.1	Natronococcus amylolyticus
NR_113531.1	Natronobacterium gregoryi
NR_113530.1	Natronoarchaeum mannanilyticum
NR_113529.1	Natrinema versiforme
NR_113528.1	Natrinema pellirubrum
NR_113527.1	Natrinema pallidum
NR_113526.1	Natrinema gari
NR_113525.1	Natrinema ejinorense
NR_113524.1	Natrinema altunense
NR_113523.1	Natrialba taiwanensis
NR_113522.1	Natrialba magadii
NR_113521.1	Natrialba hulunbeirensis
NR_113520.1	Natrialba chahannaoensis
NR_113519.1	Natrialba asiatica
NR_113518.1	Natrialba aegyptia
NR_113517.1	Halovivax ruber
NR_113516.1	Halovivax asiaticus
NR_113515.1	Haloterrigena turkmenica
NR_113514.1	Haloterrigena thermotolerans
NR_113513.1	Haloterrigena salina
NR_113512.1	Haloterrigena saccharevitans
NR_113511.1	Haloterrigena longa
NR_113510.1	Haloterrigena limicola
NR_113509.1	Haloterrigena jeotgali
NR_113508.1	Haloterrigena hispanica
NR_113507.1	Haloterrigena daqingensis
NR_113506.1	Halostagnicola larsenii
NR_113505.1	Halostagnicola kamekurae
NR_113504.1	Halostagnicola alkaliphila
NR_113503.1	Halopiger xanaduensis
NR_113502.1	Halopiger aswanensis
NR_113501.1	Halobiforma nitratireducens
NR_113500.1	Halobiforma lacisalsi
NR_113499.1	Halobiforma haloterrestris
NR_113498.1	Salarchaeum japonicum
NR_113497.1	Natronomonas pharaonis
NR_113496.1	Natronomonas moolapensis
NR_113495.1	Halosimplex carlsbadense
NR_113494.1	Halogeometricum pallidum
NR_113493.1	Halogeometricum limi
NR_113492.1	Halorussus rarus
NR_113491.1	Halorubrum xinjiangense
NR_113490.1	Halorubrum vacuolatum
NR_113489.1	Halorubrum trapanicum
NR_113488.1	Halorubrum tibetense
NR_113487.1	Halorubrum terrestre
NR_113486.1	Halorubrum tebenquichense
NR_113485.1	Halorubrum sodomense
NR_113484.1	Halorubrum saccharovorum
NR_113483.1	Halorubrum orientale
NR_113482.1	Halorubrum luteum
NR_113481.1	Halorubrum litoreum
NR_113480.1	Halorubrum lipolyticum
NR_113479.1	Halorubrum lacusprofundi
NR_113478.1	Halorubrum kocurii
NR_113477.1	Halorubrum ezzemoulense
NR_113476.1	Halorubrum ejinorense
NR_113475.1	Halorubrum distributum
NR_113474.1	Halorubrum coriense
NR_113473.1	Halorubrum cibi
NR_113472.1	Halorubrum chaoviator
NR_113471.1	Halorubrum californiense
NR_113470.1	Halorubrum arcis
NR_113469.1	Halorubrum aquaticum
NR_113468.1	Halorubrum alkaliphilum
NR_113467.1	Halorubrum aidingense
NR_113466.1	Halorientalis regularis
NR_113465.1	Halorhabdus utahensis
NR_113464.1	Halorhabdus tiamatea
NR_113463.1	Haloquadratum walsbyi
NR_113462.1	Haloplanus vescus
NR_113461.1	Haloplanus natans
NR_113460.1	Haloplanus aerogenes
NR_113459.1	Halopelagius inordinatus
NR_113458.1	Halonotius pteroides
NR_113457.1	Halomicrobium mukohataei
NR_113456.1	Halomicrobium katesii
NR_113455.1	Halomarina oriensis
NR_113454.1	Halolamina pelagica
NR_113453.1	Halogranum rubrum
NR_113452.1	Halogranum gelatinilyticum
NR_113451.1	Halogranum amylolyticum
NR_113450.1	Halogeometricum rufum
NR_113449.1	Halogeometricum borinquense
NR_113448.1	Haloferax volcanii
NR_113447.1	Haloferax sulfurifontis
NR_113446.1	Haloferax prahovense
NR_113445.1	Haloferax mucosum
NR_113444.1	Haloferax mediterranei
NR_113443.1	Haloferax lucentense
NR_113442.1	Haloferax larsenii
NR_113441.1	Haloferax gibbonsii
NR_113440.1	Haloferax elongans
NR_113439.1	Haloferax denitrificans
NR_113438.1	Haloferax alexandrinus
NR_113437.1	Halococcus thailandensis
NR_113436.1	Halococcus salifodinae
NR_113435.1	Halococcus saccharolyticus
NR_113434.1	Halococcus qingdaonensis
NR_113433.1	Halococcus morrhuae
NR_113432.1	Halococcus hamelinensis
NR_113431.1	Halococcus dombrowskii
NR_113430.1	Halobellus clavatus
